"PointID"	"x"	"y"	"Adjoint_Density"	"Adjoint_Momentum_x"	"Adjoint_Momentum_y"	"Adjoint_Energy"	"Surface_Sensitivity"	"Limiter_Adjoint_Density"
50	4.802699983120000e-01	-5.407492053959814e-02	-2.562363444012096e-11	1.099988264022136e-13	2.786461298770614e-13	-3.167575704521895e-16	1.032156755173626e+00	0.000000000000000e+00	
51	4.645099937920000e-01	-5.497835513414191e-02	-3.157710261864024e-11	1.328267460426226e-13	3.005755032204873e-13	-3.451142749366115e-16	1.134278995848431e+00	0.000000000000000e+00	
52	4.487800002100000e-01	-5.581859897363720e-02	-3.614616070387722e-11	1.505398312819966e-13	3.200159788944137e-13	-3.680740666994571e-16	1.169380794296512e+00	0.000000000000000e+00	
53	4.331099987030000e-01	-5.659141825851464e-02	-4.265326008081135e-11	1.750979154966146e-13	3.420504543302517e-13	-3.965097368430000e-16	9.165884598575660e-01	0.000000000000000e+00	
54	4.174999892710000e-01	-5.729416860686566e-02	-4.419622429369582e-11	1.817111618524467e-13	3.521591549166369e-13	-4.058967187682370e-16	3.349165165346611e-01	0.000000000000000e+00	
55	4.019699990750000e-01	-5.792324246601335e-02	-5.383682315794938e-11	2.173463541870985e-13	3.746035295205538e-13	-4.404358661506796e-16	-1.298203979140823e-01	0.000000000000000e+00	
56	3.865399956700000e-01	-5.847520956655861e-02	-5.865370569631224e-11	2.355671286994510e-13	3.884769816667894e-13	-4.557214936818105e-16	4.362572064339678e-01	0.000000000000000e+00	
57	3.712300062180000e-01	-5.894684318665333e-02	-7.131882673712763e-11	2.810767596835659e-13	4.092630821550096e-13	-4.911371161855932e-16	2.628138802482973e+00	0.000000000000000e+00	
58	3.560400009160000e-01	-5.933561549045978e-02	-6.127074977177707e-11	2.446063557208458e-13	3.774207166248041e-13	-4.424377965807581e-16	5.297692437730882e+00	0.000000000000000e+00	
59	3.409900069240000e-01	-5.963847719943702e-02	-8.068626769964842e-11	3.072817862083400e-13	3.728992551969473e-13	-4.750036610012238e-16	5.613289763751905e+00	0.000000000000000e+00	
60	3.261100053790000e-01	-5.985254444802346e-02	-1.157678919802504e-10	4.199863821213808e-13	4.014065215458160e-13	-5.519116291268065e-16	3.208539367134196e+00	0.000000000000000e+00	
61	3.113999962810000e-01	-5.997565198183213e-02	-2.323341611210380e-10	8.068437289170127e-13	6.299145171332145e-13	-9.069321397551779e-16	7.277541114492918e-01	0.000000000000000e+00	
62	2.968699932100000e-01	-6.000550062925582e-02	-5.993032511558970e-10	2.043740683010334e-12	1.365509828361936e-12	-2.088647422527341e-15	-4.876408756198778e-01	0.000000000000000e+00	
63	2.825500071050000e-01	-5.994005483718394e-02	-7.776856456878468e-10	2.693698869353545e-12	2.171830263282602e-12	-2.883376034926790e-15	-7.732761288617641e-01	0.000000000000000e+00	
64	2.684499919410000e-01	-5.977765596976551e-02	-8.527405316797521e-10	3.024169522405698e-12	2.790774270764665e-12	-3.463522629159200e-15	-7.652739756026893e-01	0.000000000000000e+00	
65	2.545700073240000e-01	-5.951657836311273e-02	-3.793993081471493e-10	1.489460068100251e-12	2.296458651371607e-12	-2.322923532168549e-15	-7.957597525999350e-01	0.000000000000000e+00	
66	2.409400045870000e-01	-5.915585896897953e-02	7.165134760657591e-10	-2.251004648843299e-12	3.077796788954198e-13	1.003159262595552e-15	-9.100532213293058e-01	0.000000000000000e+00	
67	2.275699973110000e-01	-5.869456802648413e-02	1.102194176716803e-09	-3.682758259302146e-12	-1.493136473492774e-12	2.573674246348835e-15	-1.045534123507777e+00	0.000000000000000e+00	
68	2.144699990750000e-01	-5.813197420944613e-02	1.018683023508126e-09	-3.511351474572356e-12	-2.205996192968467e-12	2.795102508023790e-15	-1.167534831236293e+00	0.000000000000000e+00	
69	2.016600072380000e-01	-5.746811193675738e-02	5.520584234077127e-10	-1.950015583441852e-12	-1.674012341034527e-12	1.677779759352032e-15	-1.286031128417301e+00	0.000000000000000e+00	
70	1.891400069000000e-01	-5.670228146432130e-02	-2.117648937766021e-10	7.540054237076640e-13	-2.531912364666884e-13	-6.608290650617369e-16	-1.442976396115296e+00	0.000000000000000e+00	
71	1.769299954180000e-01	-5.583513598033686e-02	-3.422528625694130e-10	1.308293290373212e-12	7.193537867347759e-13	-1.279930698274604e-15	-1.665437385396397e+00	0.000000000000000e+00	
72	1.650400012730000e-01	-5.486709202536137e-02	-1.567432685279112e-10	7.052217415099238e-13	8.320501613398978e-13	-9.012371848471546e-16	-1.937467829772672e+00	0.000000000000000e+00	
73	1.534900069240000e-01	-5.379977779145956e-02	-3.733369180019238e-11	2.799767883804718e-13	5.891929733582068e-13	-6.060949215913554e-16	-2.207304339328743e+00	0.000000000000000e+00	
74	1.422899961470000e-01	-5.263443049277360e-02	3.794060738340461e-11	-2.725592689445681e-15	3.759715426448627e-13	-3.720830839258612e-16	-2.454782435826049e+00	0.000000000000000e+00	
75	1.314399987460000e-01	-5.137133628795417e-02	2.107247118917568e-11	5.913594840134646e-14	3.426320492636912e-13	-4.246159949714031e-16	-2.712916360715350e+00	0.000000000000000e+00	
76	1.209499984980000e-01	-5.001187382363489e-02	5.153811584855045e-11	-4.778761683329349e-14	3.110038372071995e-13	-3.379534103437892e-16	-3.035159936588634e+00	0.000000000000000e+00	
77	1.108499988910000e-01	-4.856066993422563e-02	5.996261399848870e-11	-7.784796070508369e-14	2.767085658770711e-13	-3.149648847113330e-16	-3.434390046412994e+00	0.000000000000000e+00	
78	1.011300012470000e-01	-4.701715290498424e-02	6.485546891157515e-11	-9.211523677797907e-14	2.640039310372161e-13	-3.045894326081076e-16	-3.892729289685047e+00	0.000000000000000e+00	
79	9.181000292300000e-02	-4.538527151431038e-02	6.336037370010192e-11	-8.114826940940161e-14	2.637317687711728e-13	-3.141729921646421e-16	-4.420072657224313e+00	0.000000000000000e+00	
80	8.290000259900000e-02	-4.366791468532204e-02	6.121448331479016e-11	-6.511662021757837e-14	2.720511044037089e-13	-3.298370833320965e-16	-5.034921722846986e+00	0.000000000000000e+00	
81	7.440000027400000e-02	-4.186607976498817e-02	5.727584123302157e-11	-4.114022292090520e-14	2.839344145978305e-13	-3.510337183144966e-16	-5.766006361892226e+00	0.000000000000000e+00	
82	6.633000075800000e-02	-3.998513962421356e-02	5.914662067336364e-11	-3.946090290756438e-14	2.920425449890599e-13	-3.542650284801776e-16	-6.646861793833134e+00	0.000000000000000e+00	
83	5.869000032500000e-02	-3.802635805630503e-02	5.833371348520064e-11	-2.835497912694505e-14	2.961942431793555e-13	-3.631373742065902e-16	-7.699501017783705e+00	0.000000000000000e+00	
84	5.149000138000000e-02	-3.599337852580232e-02	5.992679189862384e-11	-2.561191796262586e-14	3.011532005205059e-13	-3.661996330818704e-16	-9.017811871405545e+00	0.000000000000000e+00	
85	4.473999887700000e-02	-3.389028465845557e-02	5.996977447925115e-11	-1.736980392107727e-14	3.035264628390746e-13	-3.715269250910172e-16	-1.064118516672487e+01	0.000000000000000e+00	
86	3.844000026600000e-02	-3.171811260404538e-02	6.267180944209576e-11	-1.914363807310672e-14	3.065063696808704e-13	-3.690798614134617e-16	-1.264366948745196e+01	0.000000000000000e+00	
87	3.260000050100000e-02	-2.948109446637338e-02	6.209947936611082e-11	-7.070659810727460e-15	3.069793671319190e-13	-3.756421903617155e-16	-1.512374093941966e+01	0.000000000000000e+00	
88	2.723000012300000e-02	-2.718419978786347e-02	6.383876192411704e-11	-2.792139263740649e-15	3.106515667380111e-13	-3.758128931792637e-16	-1.821136551117527e+01	0.000000000000000e+00	
89	2.232000045500000e-02	-2.482329437156798e-02	6.496992634423883e-11	2.567830785573662e-15	3.100592921827779e-13	-3.744431458097037e-16	-2.192871260870062e+01	0.000000000000000e+00	
90	1.789999939500000e-02	-2.241364555514381e-02	6.713759119182407e-11	4.098486362154195e-15	3.079283941884095e-13	-3.693828982829129e-16	-2.634357520568383e+01	0.000000000000000e+00	
91	1.394999958600000e-02	-1.994492353858276e-02	6.854294663587294e-11	4.198257942065446e-15	3.012365403233381e-13	-3.598941569799927e-16	-3.110731788981045e+01	0.000000000000000e+00	
92	1.049000024800000e-02	-1.742916196961543e-02	6.946740273719914e-11	1.412209665547355e-14	2.985719617525030e-13	-3.555003187868578e-16	-3.562172511084959e+01	0.000000000000000e+00	
93	7.519999985000000e-03	-1.486756313872443e-02	6.993673187604872e-11	1.461175797137008e-14	2.892258711689204e-13	-3.388097301731567e-16	-3.846193029088649e+01	0.000000000000000e+00	
94	5.040000193000000e-03	-1.226032473458219e-02	6.990519956524536e-11	2.605845035096680e-14	2.768484269750563e-13	-3.324601754305640e-16	-3.769446514946295e+01	0.000000000000000e+00	
95	3.049999941000000e-03	-9.605565346412577e-03	6.698452023158427e-11	2.969329713257701e-14	2.538361450237483e-13	-3.124581215187599e-16	-2.972867460568553e+01	0.000000000000000e+00	
96	1.560000004000000e-03	-6.917517506923035e-03	6.792317999996759e-11	4.968627016171983e-14	2.097910475080227e-13	-3.198722513947064e-16	-1.650573820508154e+01	0.000000000000000e+00	
97	5.600000150000000e-04	-4.173159738460802e-03	5.923381498841603e-11	7.622113187699621e-14	1.896942303597446e-13	-2.962786230212960e-16	3.119465343643390e+00	0.000000000000000e+00	
98	5.999999800000000e-05	-1.375329724321098e-03	3.968984546295424e-11	6.056343016658186e-14	9.937790332607073e-14	-2.420777592781839e-16	8.568968606723686e+00	0.000000000000000e+00	
99	0.000000000000000e+00	0.000000000000000e+00	5.827010168590611e-11	1.090515218286776e-13	-6.439170359514721e-16	-3.211662645832388e-16	-3.354783219520209e+00	0.000000000000000e+00	
100	5.999999800000000e-05	1.375329724321098e-03	-3.345351713880809e-12	1.536518529948853e-13	-3.832386690872296e-14	-1.326670470671678e-16	2.129625560073255e+00	0.000000000000000e+00	
101	5.600000150000000e-04	4.173159738460802e-03	8.777434312351384e-13	1.051069057856836e-13	-5.950395230843461e-15	-1.195685359965724e-16	-1.746546184866842e+01	0.000000000000000e+00	
102	1.560000004000000e-03	6.917517506923035e-03	-4.297309417347041e-13	6.373046652039400e-14	-1.215917013884780e-14	-8.197199775534607e-17	-4.798544908297993e+01	0.000000000000000e+00	
103	3.049999941000000e-03	9.605565346412577e-03	1.353855468831589e-12	4.695518921956498e-14	-2.498827159981342e-14	-6.593411914554960e-17	-5.828451262572001e+01	0.000000000000000e+00	
104	5.040000193000000e-03	1.226032473458219e-02	2.497979453342772e-12	2.916411728919624e-14	-2.704948405069429e-14	-5.048883721056030e-17	-6.049401021808082e+01	0.000000000000000e+00	
105	7.519999985000000e-03	1.486756313872443e-02	3.355056520830362e-12	1.468498595050260e-14	-2.620288361645088e-14	-3.690857500408231e-17	-5.506639941243382e+01	0.000000000000000e+00	
106	1.049000024800000e-02	1.742916196961543e-02	4.576278262660719e-12	1.359334666737591e-15	-2.417739994175962e-14	-2.451185243500700e-17	-4.662174763719818e+01	0.000000000000000e+00	
107	1.394999958600000e-02	1.994492353858276e-02	5.385386911920813e-12	-7.238354888783381e-15	-2.138259208024118e-14	-1.624730694776815e-17	-3.794733500716877e+01	0.000000000000000e+00	
108	1.789999939500000e-02	2.241364555514381e-02	6.609672692100936e-12	-1.596540560376554e-14	-1.924779832953261e-14	-7.858288598309023e-18	-3.032591553717982e+01	0.000000000000000e+00	
109	2.232000045500000e-02	2.482329437156798e-02	6.672107946954856e-12	-1.803056507847852e-14	-1.770373658765612e-14	-5.171291021826736e-18	-2.407846884810636e+01	0.000000000000000e+00	
