"PointID"	"x"	"y"	"Density"	"Momentum_x"	"Momentum_y"	"Energy"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
14	9.449599981310000e-01	-7.724467125531491e-03	1.296155414341642e+00	3.155109913177133e+02	4.274632586666433e+01	3.135167517963246e+05	1.097643737420420e+05	2.950085961038471e+02	7.134129070294273e-01	1.859154978244062e-01	
15	9.375399947170000e-01	-8.725349486403867e-03	1.289815160373917e+00	3.170252229511284e+02	4.255687697712929e+01	3.121970296085831e+05	1.090135804663113e+05	2.944309579407107e+02	7.209479104815744e-01	1.693758694245723e-01	
16	9.296900033950000e-01	-9.774221272349531e-03	1.283652816877666e+00	3.184543488918456e+02	4.233421806597325e+01	3.109129593662277e+05	1.082852348708408e+05	2.938678056122736e+02	7.282469840337834e-01	1.533307530321624e-01	
17	9.214000105860000e-01	-1.087086069705918e-02	1.277644898954795e+00	3.198073436006343e+02	4.208175956360742e+01	3.096597253625020e+05	1.075764832772582e+05	2.933171947762820e+02	7.353401605537038e-01	1.377172834333072e-01	
18	9.126999974250000e-01	-1.200973104171110e-02	1.271782216807032e+00	3.210915261253108e+02	4.180030790692901e+01	3.084356127766014e+05	1.068860394249490e+05	2.927780960680437e+02	7.422448451229309e-01	1.225071249019470e-01	
19	9.035800099370001e-01	-1.319055953446835e-02	1.266042411044076e+00	3.223089985793321e+02	4.149226290617904e+01	3.072356220932896e+05	1.062116010010245e+05	2.922496813423272e+02	7.489753036744338e-01	1.076495585506439e-01	
20	8.940600156780000e-01	-1.440916392228702e-02	1.260424322752195e+00	3.234718451354561e+02	4.115936523308556e+01	3.060602440429585e+05	1.055522988074692e+05	2.917301170107442e+02	7.555580380658176e-01	9.312543634937860e-02	
21	8.841500282290000e-01	-1.566269158090452e-02	1.254916209641732e+00	3.245807491402248e+02	4.080320962565533e+01	3.049067910949645e+05	1.049069857356567e+05	2.912192137244336e+02	7.619981993238485e-01	7.890948802599250e-02	
22	8.738499879840000e-01	-1.694956337677533e-02	1.249492886595203e+00	3.256358476479978e+02	4.042467914946259e+01	3.037695356787858e+05	1.042731647408284e+05	2.907161188756813e+02	7.683090257739392e-01	6.494670484007350e-02	
23	8.631799817090000e-01	-1.826569132102762e-02	1.244163241930936e+00	3.266514669803063e+02	4.002602209143890e+01	3.026514513411646e+05	1.036507648989673e+05	2.902187655075428e+02	7.745185339446247e-01	5.123552436835344e-02	
24	8.521599769590000e-01	-1.960709133914372e-02	1.238896667579797e+00	3.276219829371767e+02	3.960728891172519e+01	3.015451989960643e+05	1.030371297277037e+05	2.897270288289234e+02	7.806300694252353e-01	3.771742553363708e-02	
25	8.407700061800000e-01	-2.097463226217677e-02	1.233690420401311e+00	3.285560183355506e+02	3.917088528167346e+01	3.004507646906892e+05	1.024313773561617e+05	2.892392091529294e+02	7.866663043859566e-01	2.437298112865562e-02	
26	8.290500044819999e-01	-2.236196298315981e-02	1.228531048365922e+00	3.294524931541563e+02	3.871548057474072e+01	2.993649912351448e+05	1.018322719971500e+05	2.887550857290971e+02	7.926312906390177e-01	1.117496733350182e-02	
27	8.170099854470000e-01	-2.376642068849115e-02	1.223415610957382e+00	3.303174843018525e+02	3.824259857785430e+01	2.982876463139110e+05	1.012390856850734e+05	2.882733809984507e+02	7.985419155724229e-01	-1.892652596986642e-03	
28	8.046399950980000e-01	-2.518763605296113e-02	1.218335182995451e+00	3.311493907917630e+02	3.775231179407042e+01	2.972165709532049e+05	1.006510627310421e+05	2.877941250778410e+02	8.043988139453462e-01	-1.484652613932083e-02	
29	7.919700145720000e-01	-2.662062628442961e-02	1.213289833620392e+00	3.319496934622405e+02	3.724375644739616e+01	2.961518416079860e+05	1.000681492675882e+05	2.873172191777362e+02	8.102041519252319e-01	-2.768783996888917e-02	
30	7.790099978450000e-01	-2.806276676215449e-02	1.208277052173818e+00	3.327253680273864e+02	3.671761500147014e+01	2.950934107821750e+05	9.948957288063873e+04	2.868411033306360e+02	8.159777243418365e-01	-4.043361001024959e-02	
31	7.657799720760000e-01	-2.951033727360171e-02	1.203276890702511e+00	3.334755824588290e+02	3.617371146320884e+01	2.940367471836029e+05	9.891335051934965e+04	2.863648323025653e+02	8.217315991049533e-01	-5.312752195574590e-02	
32	7.522799968720000e-01	-3.096181144522562e-02	1.198251764380379e+00	3.341991690858433e+02	3.561069301752127e+01	2.929733766368688e+05	9.833568243031274e+04	2.858863396546360e+02	8.274911286244666e-01	-6.585328261444925e-02	
33	7.385200262070000e-01	-3.241453277608040e-02	1.193200604680802e+00	3.349041454930768e+02	3.502893057352041e+01	2.919036976517666e+05	9.775582113516354e+04	2.854036405632244e+02	8.332803189553774e-01	-7.862735858879798e-02	
34	7.245299816130000e-01	-3.386376679305321e-02	1.188128622398104e+00	3.355908767671527e+02	3.442606276237411e+01	2.908288781583311e+05	9.717430040324290e+04	2.849169651078719e+02	8.390964160504731e-01	-9.143799118724001e-02	
35	7.103199958800001e-01	-3.530689307158652e-02	1.183020950502441e+00	3.362525360244767e+02	3.380191381270568e+01	2.897450699200627e+05	9.659011337669205e+04	2.844268459605682e+02	8.449331138760258e-01	-1.043073610224337e-01	
36	6.958900094030001e-01	-3.674225211597043e-02	1.177896440336374e+00	3.369033536910490e+02	3.315448220406927e+01	2.886575933343802e+05	9.600409586929381e+04	2.839311215449613e+02	8.508161190207487e-01	-1.172170555035552e-01	
37	6.812700033190000e-01	-3.816515293304169e-02	1.172709451781375e+00	3.375264530733626e+02	3.248142188599067e+01	2.875549549410565e+05	9.541283682672425e+04	2.834305949157246e+02	8.567357916136086e-01	-1.302422185787369e-01	
38	6.664699912070000e-01	-3.957289370556494e-02	1.167471705586120e+00	3.381353197134917e+02	3.178192771057297e+01	2.864408660716996e+05	9.481645249466160e+04	2.829226281640094e+02	8.627231217400388e-01	-1.433802894094850e-01	
39	6.514999866490000e-01	-4.096270419333766e-02	1.162160727790060e+00	3.387274016291925e+02	3.105279071059516e+01	2.853101490611028e+05	9.421278132038175e+04	2.824060360233859e+02	8.687916597205892e-01	-1.566788860019529e-01	
40	6.363800168040000e-01	-4.233084266562091e-02	1.156767185864108e+00	3.393001265220299e+02	3.029346434555860e+01	2.841605583636751e+05	9.360102112846779e+04	2.818804599679709e+02	8.749451260493245e-01	-1.701556799093310e-01	
41	6.211299896240000e-01	-4.367359094194759e-02	1.151284727215352e+00	3.398588751656796e+02	2.949939079845506e+01	2.829911498910140e+05	9.298004149181968e+04	2.813437925737009e+02	8.812075831808853e-01	-1.838355739174757e-01	
42	6.057599782940000e-01	-4.498807223669178e-02	1.145694593725059e+00	3.403968119704861e+02	2.867033050420604e+01	2.817972578527009e+05	9.234838239497405e+04	2.807959077090313e+02	8.875797875682762e-01	-1.977507314913546e-01	
43	5.902799963950000e-01	-4.627132533375768e-02	1.139997824768951e+00	3.409205995709247e+02	2.780110407668361e+01	2.805796984263768e+05	9.170556711668403e+04	2.802347728375607e+02	8.940845690754378e-01	-2.119116545794113e-01	
44	5.747100114820000e-01	-4.751950934859488e-02	1.134185719736429e+00	3.414221261588955e+02	2.689054162464437e+01	2.793359201427682e+05	9.105130576516008e+04	2.796612849790311e+02	9.007106857420839e-01	-2.263247293636089e-01	
45	5.590599775310000e-01	-4.872955796694115e-02	1.128265275558798e+00	3.419068699719512e+02	2.593390939766156e+01	2.780679710786007e+05	9.038583526076286e+04	2.790740781832994e+02	9.074730849306550e-01	-2.409847365980477e-01	
46	5.433599948880000e-01	-4.989683951066199e-02	1.122227430537719e+00	3.423660981621805e+02	2.493022242868064e+01	2.767731687416191e+05	8.970887881345926e+04	2.784741546450000e+02	9.143594049689973e-01	-2.558977738390597e-01	
47	5.276100039480000e-01	-5.101897737545535e-02	1.116095099397189e+00	3.428023091564330e+02	2.387560287361534e+01	2.754568152690869e+05	8.902261750410462e+04	2.778622215527108e+02	9.213608420397581e-01	-2.710157928847982e-01	
48	5.118399858470000e-01	-5.209138375948307e-02	1.109907603958900e+00	3.432049096515323e+02	2.276563844239435e+01	2.741266525783205e+05	8.833215057503131e+04	2.772441063226606e+02	9.284104298408009e-01	-2.862264597865931e-01	
49	4.960500001910000e-01	-5.311153541819326e-02	1.103719242064610e+00	3.435855408408037e+02	2.159270372788894e+01	2.727956227443715e+05	8.764226784957346e+04	2.766211217884492e+02	9.354933161036715e-01	-3.014242569531067e-01	
50	4.802699983120000e-01	-5.407492053959814e-02	1.097393364959140e+00	3.439444120330937e+02	2.035367090288904e+01	2.714338172116626e+05	8.693825292026780e+04	2.759808346668406e+02	9.427504091494930e-01	-3.169333800300527e-01	
51	4.645099937920000e-01	-5.497835513414191e-02	1.090515058739393e+00	3.442902467577086e+02	1.905848228334342e+01	2.699513364095875e+05	8.617450835510525e+04	2.752817957031127e+02	9.506482258316022e-01	-3.337583193422585e-01	
52	4.487800002100000e-01	-5.581859897363720e-02	1.082861633796332e+00	3.445986263377897e+02	1.772575142965391e+01	2.682977285873655e+05	8.532876287926090e+04	2.745066233726085e+02	9.593765942203992e-01	-3.523897007670486e-01	
53	4.331099987030000e-01	-5.659141825851464e-02	1.075606360044878e+00	3.448336486669482e+02	1.633819216609532e+01	2.667265432343974e+05	8.453061783610527e+04	2.737732597436193e+02	9.676066298830851e-01	-3.699724666890206e-01	
54	4.174999892710000e-01	-5.729416860686566e-02	1.071248580059309e+00	3.449675427127507e+02	1.484414667598998e+01	2.657805330222294e+05	8.405352247453184e+04	2.733354774445442e+02	9.725072168002579e-01	-3.804826567064114e-01	
55	4.019699990750000e-01	-5.792324246601335e-02	1.071284648119458e+00	3.450341727484868e+02	1.317114743006748e+01	2.657882917301704e+05	8.405754240245414e+04	2.733393468241826e+02	9.724639421831057e-01	-3.803940995546918e-01	
56	3.865399956700000e-01	-5.847520956655861e-02	1.072381196273767e+00	3.451072067086609e+02	1.131030513437209e+01	2.660284637332124e+05	8.417546648635567e+04	2.734429224320066e+02	9.713053036621848e-01	-3.777962865611965e-01	
57	3.712300062180000e-01	-5.894684318665333e-02	1.064734807594171e+00	3.452922827191199e+02	9.407402995531518e+00	2.643707693258887e+05	8.333610538936117e+04	2.726604164619616e+02	9.800464310697504e-01	-3.962870230745927e-01	
58	3.560400009160000e-01	-5.933561549045978e-02	1.038522994478537e+00	3.454347363790395e+02	7.704857277498103e+00	2.586701319825499e+05	8.047683881747030e+04	2.699511221187320e+02	1.010104908854988e+00	-4.592753423947362e-01	
59	3.409900069240000e-01	-5.963847719943702e-02	9.990997256812265e-01	3.449854661733910e+02	6.177138275588466e+00	2.500748052447506e+05	7.619784090561036e+04	2.656832475613087e+02	1.056892062865485e+00	-5.535396860876785e-01	
60	3.261100053790000e-01	-5.985254444802346e-02	9.691444017370099e-01	3.439751120227311e+02	4.245488124656001e+00	2.435079559990087e+05	7.298228048893456e+04	2.623368404249075e+02	1.093183628519561e+00	-6.243769939168835e-01	
61	3.113999962810000e-01	-5.997565198183213e-02	9.577897177337255e-01	3.432910754872910e+02	1.998972666596598e+00	2.409939238084965e+05	7.178825158672244e+04	2.611040156208408e+02	1.106481315903164e+00	-6.506808980401985e-01	
62	2.968699932100000e-01	-6.000550062925582e-02	9.582395038673474e-01	3.431768137209612e+02	-3.407780147664086e-01	2.410783187912433e+05	7.185074173809467e+04	2.612086353527067e+02	1.105354212208037e+00	-6.493042689256927e-01	
63	2.825500071050000e-01	-5.994005483718394e-02	9.624048076544256e-01	3.432834615019491e+02	-2.723474057506745e+00	2.419858868352386e+05	7.230342299427409e+04	2.617166903775524e+02	1.099877224746123e+00	-6.393319103513690e-01	
64	2.684499919410000e-01	-5.977765596976551e-02	9.667317698653725e-01	3.434797422761916e+02	-5.178934959703801e+00	2.429396905614446e+05	7.276266081160569e+04	2.622001442649669e+02	1.094659851429253e+00	-6.292151137692166e-01	
65	2.545700073240000e-01	-5.951657836311273e-02	9.707563147983609e-01	3.436524254746349e+02	-7.739373791129440e+00	2.438284984100187e+05	7.318813511940223e+04	2.626399591518536e+02	1.089908527167533e+00	-6.198421116764867e-01	
66	2.409400045870000e-01	-5.915585896897953e-02	9.750962617300580e-01	3.438165430223999e+02	-1.043760710779086e+01	2.447871672165080e+05	7.364674823171590e+04	2.631094397168307e+02	1.084831410044041e+00	-6.097390770567679e-01	
67	2.275699973110000e-01	-5.869456802648413e-02	9.799966370512521e-01	3.439516631566580e+02	-1.327609203662505e+01	2.458669182653314e+05	7.416729633070307e+04	2.636441915194751e+02	1.079041524416159e+00	-5.982716433439279e-01	
68	2.144699990750000e-01	-5.813197420944613e-02	9.853993398021978e-01	3.440637739253413e+02	-1.626008478463805e+01	2.470564297741557e+05	7.474212734415894e+04	2.642308568545992e+02	1.072680799887427e+00	-5.856083821472863e-01	
69	2.016600072380000e-01	-5.746811193675738e-02	9.911330493894353e-01	3.441266875420227e+02	-1.939547994151937e+01	2.483167358440993e+05	7.535425959863259e+04	2.648537914409237e+02	1.065916422335382e+00	-5.721233918739075e-01	
70	1.891400069000000e-01	-5.670228146432130e-02	9.972463443709040e-01	3.441459980463903e+02	-2.269294080692723e+01	2.496595516733578e+05	7.600784201266499e+04	2.655133086854582e+02	1.058742634224127e+00	-5.577252737684389e-01	
71	1.769299954180000e-01	-5.583513598033686e-02	1.003996333264239e+00	3.441113840609859e+02	-2.617013182363706e+01	2.511402908884405e+05	7.673142404443542e+04	2.662388795200783e+02	1.050835290873856e+00	-5.417850964797808e-01	
72	1.650400012730000e-01	-5.486709202536137e-02	1.011658698812522e+00	3.440156457039164e+02	-2.984158769735312e+01	2.528190133716750e+05	7.755497458192204e+04	2.670582414908631e+02	1.041885949227847e+00	-5.236426592752713e-01	
73	1.534900069240000e-01	-5.379977779145956e-02	1.020210332025809e+00	3.438260649588485e+02	-3.371793537810721e+01	2.546888869641415e+05	7.847777917712077e+04	2.679707133650116e+02	1.031893597598908e+00	-5.033137011137964e-01	
